time sunx Sun sunvx sunvy earthx Earth earthvx earthvy
0 0 0 0 0 149577000000 0 0 29780
0.01 8.94370451918646E-13 5.93548403967992E-22 1.7887408334648E-10 1.78064488912983E-19 149577000000 297.799982132 -5.96246944488268E-05 29780
0.03 8.04933371187394E-12 1.60258043294588E-20 5.36622250039441E-10 1.60258032945978E-18 149577000000 893.399946396 -0.00017887408334648 29780
0.07 4.38241496562565E-11 2.03587061065583E-19 1.25211858342536E-09 8.72515946143671E-18 149577000000 2084.599874924 -0.000417372861141787 29780
0.15 2.0123333924291E-10 2.0032254213978E-18 2.68311125019721E-09 4.00645075289239E-17 149577000000 4466.99973198 -0.000894370416732402 29780
0.31 8.59489949207768E-10 1.76823964680572E-17 5.54509658374089E-09 1.71119962878031E-16 149577000000 9231.79944609199 -0.00184836552791363 29779.9999999999
0.63 3.54975609230369E-09 1.48414963373797E-16 1.12690672508282E-08 7.06737910432779E-16 149576999999.999 18761.3988743159 -0.00375635575027608 29779.9999999998
1.27 1.44253000711603E-08 1.21581417650249E-15 2.27170085850028E-08 2.87200195296839E-15 149576999999.995 37820.5977307636 -0.00757233619500092 29779.999999999
2.55 5.81564347995318E-08 9.84184636056883E-15 4.56128912533506E-08 1.1578642627744E-14 149576999999.981 75938.9954436567 -0.0152042970844502 29779.9999999961
5.11 2.33538891338896E-07 7.91988252842562E-14 9.14046565900359E-08 4.64963743361101E-14 149576999999.922 152175.790869426 -0.0304682188633453 29779.9999999845
10.23 9.35984552747911E-07 6.35452277548324E-13 1.82988187263324E-07 1.86349639188064E-13 149576999999.688 304649.381720824 -0.0609960624211081 29779.9999999379
20.47 3.74759886888393E-06 5.09107584929662E-12 3.66155248609243E-07 7.46127374632254E-13 149576999998.751 609596.563422507 -0.122051749536414 29779.9999997513
40.95 1.49977194743774E-05 4.07584591780238E-11 7.32489371295814E-07 2.98596766847203E-12 149576999995.001 1219490.92681695 -0.244163123765271 29779.9999990047
81.91 6.00055285774407E-05 3.26187126704731E-10 1.46515761662681E-06 1.19467875478016E-11 149576999979.998 2439279.65353448 -0.488385872208937 29779.9999960177
163.83 0.000240051418338926 2.60997491418277E-09 2.93049410695162E-06 4.77929844705714E-11 149576999919.983 4878857.10639856 -0.976831368983873 29779.999984069
327.67 0.000960264283876151 2.08817110878892E-08 5.86116708490359E-06 1.91183606932717E-10 149576999679.912 9758012.00755867 -1.95372236163453 29779.9999362721
655.35 0.0038411743556927 1.67061336061786E-07 1.17225130192258E-05 7.64757765686041E-10 149576998719.609 19516321.7733335 -3.90750433974193 29779.9997450807
1310.71 0.0153649318092544 1.33652127577746E-06 2.34452047152142E-05 3.05907772831037E-09 149576994878.356 39032941.0125163 -7.81506823840473 29779.9989803074
2621.43 0.0614601951074488 1.06922924654979E-05 4.68905867259335E-05 1.22364040708531E-08 149576979513.268 78066177.1519314 -15.6301955753112 29779.9959211986
5242.87 0.245841701689775 8.55388258437298E-05 9.37813396972774E-05 4.8945799814279E-08 149576918052.766 156132630.719098 -31.2604465657591 29779.9836847334
10485.75 0.983368417544209 0.000684312457788815 0.00018756275723908 1.95783521761036E-07 149576672210.528 312265388.159909 -62.5209190796933 29779.9347388261
20971.51 3.93347318394721 0.00547450407621524 0.000375124885115591 7.83134019118505E-07 149575688842.272 624529705.493414 -125.041628371864 29779.738955327
41943.03 15.7338324385899 0.0437959545770544 0.000750243483227705 3.13252453369335E-06 149571755389.187 1249048759.80467 -250.081161075902 29778.9558251554
83886.07 62.9342599721681 0.350364262478453 0.00150043541889632 1.25298925395974E-05 149556021913.343 2498010226.62488 -500.145139632105 29775.8233691535
167772.15 251.719713851301 2.80280262152809 0.00300045722434035 5.01162388978627E-05 149493093428.716 4995320059.68421 -1000.15240811345 29763.294587034
335544.31 1006.60125390716 22.4188399633692 0.00599760490277381 0.000200411577326962 149241466248.698 9985036005.59497 -1999.20163425794 29713.196140891
671088.63 4021.96480723468 179.236113619719 0.0119687518340614 0.000800792445963715 148236345064.255 19925272831.0923 -3989.58394468713 29513.0691846788
1342177.27 16016.9583915843 1430.22670086352 0.0237264673453714 0.00318953059015332 144238013869.472 39493294468.7765 -7908.82244845713 28716.8231366156
2684354.55 62942.5913083695 11325.3106319707 0.0457847409407873 0.012541400320147 128596136230.544 76164970158.605 -15261.5803135958 25599.5332266177
5368709.11 234340.309547245 86960.3638569934 0.07885885764833 0.0468008450180184 71463563484.2516 130893359750.659 -26286.2858827767 14179.7183273272
9374315.22329388 582809.486025655 413061.831232907 0.0855675175505627 0.117059525214662 -44692828675.2184 141479813522.03 -28522.5058501876 -9239.84173822081
13453154.4221657 849728.466839663 1015117.48768457 0.0375589666381288 0.171526967537562 -133665822279.888 62262418759.1423 -12519.6555460429 -27395.6558458541
17468676.0758169 856054.929969877 1727316.19907061 -0.0347574176405408 0.173105277166045 -135774643323.292 -55554924032.075 11585.8058801803 -27921.7590553482
21447278.5418482 603495.115917835 2326810.52305051 -0.0850291860843398 0.121207510526285 -51588038639.2783 -136903591029.259 28343.0620281133 -10622.5035087616
25400499.452501 254857.338063776 2662811.08454598 -0.0813908216155162 0.0492671220050445 64624553978.7415 -131176866538.791 27130.2738718387 13357.6259983185
29347942.1428731 29168.8717237942 2750514.64359295 -0.026532256732858 0.00274096718693289 139854042758.735 -42856549955.1249 8844.08557761932 28866.3442710224
33299790.9128051 67900.687110344 2757764.52439272 0.0450492562577613 0.0108157966170608 126943437629.885 72412872419.0277 -15016.4187525871 26174.7344609798
37252229.8095827 347246.678109908 2903043.69217055 0.0883307294453422 0.0687627147549464 33828107296.6974 141690106443.572 -29443.5764817807 6859.09508168454
41189761.5800045 689339.22912955 3317865.82061257 0.0754619982078455 0.140285013304746 -80202743043.1835 120675752717.144 -25153.9994026152 -16981.6711015819
45094877.9300734 875234.398173245 3959152.66577264 0.0141320127315355 0.179688922247042 -142167799391.082 23207828924.5096 -4710.67091051185 -30116.3074156806
48959143.666781 788733.855544621 4637592.96907957 -0.0564966974615656 0.161599072871888 -113334285181.541 -87861112109.9838 18832.2324871885 -24086.3576239627
52788380.3694135 488698.800218766 5143538.36381577 -0.0914012089323955 0.0977731925991705 -13322600072.9222 -142474914859.734 30467.0696441318 -2811.0641997235
56598558.6778587 165267.450953646 5378778.76295156 -0.0688604965534529 0.0288032239252526 94487849682.1178 -107421278020.858 22953.498851151 20178.9253582491
60405764.3540737 19785.247827079 5412339.34740229 -0.00330098330147607 -0.0021585982628082 142981917390.973 -5229561269.47029 1100.32776715868 30499.5327542694
