time sunx Sun sunvx sunvy earthx Earth earthvx earthvy
0 0 0 0 0 149577000000 0 0 29780
0.01 0 0 1.7887408334648E-10 0 149577000000 297.799982132 -5.96246944488268E-05 29780
0.03 3.57748145228071E-12 0 5.36622250039441E-10 7.12257884894867E-19 149577000000 893.399946396 -0.00017887408334648 29780
0.07 2.5042370165965E-11 2.84903136863757E-20 1.25211858342536E-09 4.98580519426407E-18 149577000000 2084.599874924 -0.000417372861141787 29780
0.15 1.25211850829825E-10 4.27354705295636E-19 2.68311125019721E-09 2.49290259713203E-17 149577000000 4466.99973198 -0.000894370416732402 29780
0.31 5.5450962510351E-10 4.41599862138824E-18 5.54509658374089E-09 1.10399972158704E-16 149577000000 9231.799446092 -0.00184836552791363 29780
0.63 2.32894042543474E-09 3.97439875924941E-17 1.12690672508282E-08 4.63679883066558E-16 149576999999.999 18761.398874316 -0.00375635575027608 29779.9999999998
1.27 9.54114303323263E-09 3.36499094949784E-16 2.27170085850028E-08 1.8995917790146E-15 149576999999.997 37820.5977307639 -0.00757233619500095 29779.9999999994
2.55 3.861891227737E-08 2.76797642619982E-15 4.56128912533511E-08 7.68882386743987E-15 149576999999.987 75938.9954436591 -0.0152042970844504 29779.9999999974
5.11 1.55387906879809E-07 2.24513643458425E-14 9.14046565900403E-08 3.09369212304051E-14 149576999999.948 152175.790869445 -0.0304682188633468 29779.9999999897
10.23 6.23379720541304E-07 1.80848391541694E-13 1.82988187263359E-07 1.2411164870076E-13 149576999999.792 304649.381720976 -0.0609960624211198 29779.9999999586
20.4276032393069 2.48942053977058E-06 1.4464896664298E-12 3.65396880438943E-07 4.95630636222571E-13 149576999999.17 608333.987966036 -0.121798960146314 29779.9999998348
39.0623176731562 9.29848665322568E-06 1.06824244829483E-11 6.98723626712194E-07 1.85128016026219E-12 149576999996.901 1163275.75050648 -0.232907875570731 29779.9999993829
70.6428389661752 3.13645417005822E-05 6.91468134955885E-11 1.26361730647363E-06 6.24451654884113E-12 149576999989.545 2103743.61816502 -0.421205768824544 29779.9999979185
120.747574911179 9.46777493781883E-05 3.82026647506692E-10 2.15986117768099E-06 1.88498457405203E-11 149576999968.441 3595862.56497581 -0.719953725893665 29779.9999937167
195.78550154843 0.00025674924425137 1.79647990444014E-09 3.50209521142967E-06 5.11174344500926E-11 149576999914.417 5830491.88568388 -1.16736507047656 29779.9999829609
302.631341582423 0.000630933526544538 7.25816480094173E-09 5.41329037880735E-06 1.25615572009541E-10 149576999789.689 9012360.80916347 -1.80443012626912 29779.9999581281
448.193943759474 0.00141890611314538 2.55430932395135E-08 8.01702807534545E-06 2.82496801119735E-10 149576999527.031 13347214.8358098 -2.67234269178182 29779.9999058344
