time sunx Sun sunvx sunvy earthx Earth earthvx earthvy
0 0 0 0 0 149577000000 0 0 29780
0.01 0 0 1.7887408334648E-10 0 149577000000 297.799982132 -5.96246944488268E-05 29780
0.03 3.57748145228071E-12 0 5.36622250039441E-10 7.12257884894867E-19 149577000000 893.399946396 -0.00017887408334648 29780
0.07 2.5042370165965E-11 2.84903136863757E-20 1.25211858342536E-09 4.98580519426407E-18 149577000000 2084.599874924 -0.000417372861141787 29780
0.15 1.25211850829825E-10 4.27354705295636E-19 2.68311125019721E-09 2.49290259713203E-17 149577000000 4466.99973198 -0.000894370416732402 29780
0.31 5.5450962510351E-10 4.41599862138824E-18 5.54509658374089E-09 1.10399972158704E-16 149577000000 9231.799446092 -0.00184836552791363 29780
0.63 2.32894042543474E-09 3.97439875924941E-17 1.12690672508282E-08 4.63679883066558E-16 149576999999.999 18761.398874316 -0.00375635575027608 29779.9999999998
1.27 9.54114303323263E-09 3.36499094949784E-16 2.27170085850028E-08 1.8995917790146E-15 149576999999.997 37820.5977307639 -0.00757233619500095 29779.9999999994
2.55 3.861891227737E-08 2.76797642619982E-15 4.56128912533511E-08 7.68882386743987E-15 149576999999.987 75938.9954436591 -0.0152042970844504 29779.9999999974
5.11 1.55387906879809E-07 2.24513643458425E-14 9.14046565900403E-08 3.09369212304051E-14 149576999999.948 152175.790869445 -0.0304682188633468 29779.9999999897
10.23 6.23379720541304E-07 1.80848391541694E-13 1.82988187263359E-07 1.2411164870076E-13 149576999999.792 304649.381720976 -0.0609960624211198 29779.9999999586
20.47 2.49717864569016E-06 1.45175159798327E-12 3.66155248609525E-07 4.97175234618613E-13 149576999999.168 609596.56342372 -0.122051749536508 29779.9999998343
40.95 9.99603768728166E-06 1.16338997920435E-11 7.32489371298067E-07 1.99015893035406E-12 149576999996.668 1219490.92682666 -0.244163123766022 29779.9999993366
81.91 3.99988005354846E-05 9.31508046883315E-11 1.46515761664484E-06 7.96355241728258E-12 149576999986.667 2439279.65361216 -0.488385872214947 29779.9999973455
163.83 0.000160024505289487 7.45524979569668E-10 2.93049410709589E-06 3.1860043770708E-11 149576999946.658 4878857.10702005 -0.976831369031964 29779.99998938
327.67 0.000640156630988149 5.96547423776549E-09 5.86116708605791E-06 1.27451843959637E-10 149576999786.614 9758012.01253076 -1.9537223620193 29779.9999575161
655.35 0.00256074374651237 4.77288919606542E-08 1.17225130284608E-05 5.09830713686672E-10 149576999146.419 19516321.813111 -3.90750434282028 29779.9998300564
1310.71 0.0102432094238965 3.81851528434992E-07 2.34452047890965E-05 2.03936952127112E-09 149576996585.597 39032941.3307395 -7.81506826303218 29779.9993202102
2621.43 0.0409733064012552 3.05489378697293E-06 4.68905873170003E-05 8.15757126069948E-09 149576986342.231 78066179.697731 -15.6301957723334 29779.9972808096
