"0'th-eigenfunction (numerical)"
0.2 0.0210887918792997
0.4 0.0566946412773093
0.6 0.0857305813819816
0.8 0.102436515536283
1 0.10756295659739
1.2 0.104103129303991
1.4 0.0952327733723273
1.6 0.0835944746147799
1.8 0.0711064455951001
2 0.0589989137269509
2.2 0.047980712457293
2.4 0.0383750935837103
2.6 0.0302663499157223
2.8 0.0235912343595881
3 0.0181996935790572
3.2 0.013916551547971
3.4 0.0105579787033278
3.6 0.00795563654967736
3.8 0.005957087840491
4 0.00443573647099503
4.2 0.00328607061673243
4.4 0.00242362190094846
4.6 0.00178039333015833
4.8 0.0013028302810418
5 0.00095030928426454
5.2 0.000690881613333487
5.4 0.000500946047193066
5.6 0.000361903463489818
5.8 0.000260845582907714
6 0.000187625394580628
6.2 0.00013469353719413
6.4 9.63821990588921E-05
6.6 6.89129444319419E-05
6.8 4.9204630833599E-05
7 3.49958317760509E-05
7.2 2.48443157362815E-05
7.4 1.76113390348415E-05
7.6 1.24991948794133E-05
7.8 8.86475546131421E-06
8 6.27740596605091E-06
8.2 4.45816895044979E-06
8.4 3.13229563787811E-06
8.6 2.2051336868631E-06
8.8 1.55129965201284E-06
9 1.08463722716854E-06
9.2 7.66614691614884E-07
9.4 5.37692542704731E-07
9.6 3.79730177028463E-07
9.8 2.6704935716057E-07
10 1.83759487825652E-07
10.2 1.28224625283901E-07
10.4 8.94394027978941E-08
10.6 6.20392368047699E-08
10.8 4.34108957161832E-08
11 2.9392760974511E-08
11.2 2.16060838721467E-08
11.4 1.48443302855797E-08
11.6 9.6633333120934E-09
11.8 7.09022190840044E-09
12 5.29359961624375E-09
12.2 3.26243700199875E-09
12.4 2.33980385126724E-09
12.6 1.35176754150871E-09
12.8 9.60580523205766E-10
13 3.70580756959438E-10
13.2 2.94835281378006E-10
13.4 3.30979202238415E-10
13.6 2.14182577119158E-10
13.8 2.07002047865914E-10
14 1.6098697463755E-10
14.2 7.24537283909937E-11
14.4 5.76263289593737E-11
14.6 4.405425860033E-11
14.8 2.85810754006655E-11
15 2.94783910370122E-11
15.2 4.7026564085169E-11
15.4 4.29953573585223E-11
15.6 5.9222209943406E-13
15.8 1.07392109365806E-11
16 5.70173362971566E-13
16.2 2.18899099498801E-11
16.4 3.99273548793252E-11
16.6 2.93932419384664E-11
16.8 1.38748113841562E-11
17 1.03681061462692E-11
17.2 1.66558196290895E-11
17.4 2.11051101944499E-11
17.6 1.73694987486183E-11
17.8 1.07485930511862E-11
18 1.36832196074977E-12
18.2 9.1572742177595E-13
18.4 2.14870196598059E-11
18.6 2.78730677835238E-11
18.8 4.89076790724899E-11
19 1.34946973054792E-13
19.2 7.60374707873241E-13
19.4 1.3229675063453E-11
19.6 9.2919640416271E-13
19.8 2.45721163892644E-12
20 6.29402788855061E-12
20.2 2.3940670161427E-12
20.4 1.07533577887798E-12
20.6 9.53795166873775E-12
20.8 3.12929751280896E-11
21 1.17045102841512E-11
21.2 1.37884552868881E-14
21.4 5.63703720182099E-16
21.6 1.26124853123362E-12
21.8 1.02514378788788E-11
22 1.69226002662025E-11
22.2 5.89222176001807E-12
22.4 1.65129086684962E-11
22.6 4.50366790474813E-11
22.8 4.21240109078554E-11
23 3.78191543510592E-11
23.2 1.83411581082756E-11
23.4 1.98918108479936E-11
23.6 1.63541958490581E-12
23.8 4.80844104701091E-12
24 2.21569306561602E-12
24.2 5.66044130408109E-13
24.4 3.32993201471951E-12
24.6 5.65122323852129E-13
24.8 1.89891796227266E-12
25 6.16071794662051E-12
25.2 2.09930783130452E-12
25.4 7.15652931622687E-12
25.6 5.167543569775E-12
25.8 1.0204522748089E-11
26 3.83561391266957E-11
26.2 1.42503543153951E-11
26.4 1.23476325063286E-13
26.6 5.88103227965382E-12
26.8 9.60731652817216E-12
27 1.32487427028839E-11
27.2 5.15791848460441E-12
27.4 2.79981051130427E-12
27.6 1.75871558605446E-12
27.8 3.77971852732456E-11
28 3.1739719913526E-11
28.2 8.32413171713794E-12
28.4 4.77814339231425E-12
28.6 4.03604080255811E-13
28.8 1.31891271220871E-12
29 5.76905264328727E-12
29.2 7.14259288599401E-12
29.4 6.81362588600172E-12
29.6 5.35344074489082E-12
29.8 6.77330272589912E-13
30 1.68299440918149E-12


"0'th-eigenfunction (analytical)"
0 0
0.03 0.000678070464180659
0.06 0.00255433085774541
0.09 0.00541255096994504
0.12 0.00906195295948669
0.15 0.0133347279722709
0.18 0.0180837703717611
0.21 0.0231806118030752
0.24 0.028513538694427
0.27 0.0339858780784511
0.3 0.0395144377987699
0.33 0.0450280882609168
0.36 0.0504664738979299
0.39 0.0557788434556196
0.42 0.0609229890663117
0.45 0.065864284877977
0.48 0.0705748167429326
0.51 0.0750325951512141
0.54 0.0792208442224514
0.57 0.0831273601504937
0.6 0.0867439330307142
0.63 0.0900658264942071
0.66 0.0930913100290595
0.69 0.0958212392894
0.72 0.0982586800806495
0.75 0.100408572066793
0.78 0.102277428574836
0.81 0.103873069175008
0.84 0.105204381994726
0.87 0.106281112981604
0.9 0.107113679567588
0.93 0.107713006404225
0.96 0.108090381039465
0.99 0.108257327590725
1.02 0.108225496638331
1.05 0.10800656971913
1.08 0.107612176943037
1.11 0.107053826386585
1.14 0.10634284403801
1.17 0.105490323178978
1.2 0.104507082189403
1.23 0.103403629854768
1.26 0.102190137340446
1.29 0.100876416075534
1.32 0.0994719008600376
1.35 0.0979856375745552
1.38 0.0964262749312798
1.41 0.0948020597597139
1.44 0.0931208353702878
1.47 0.091390042584561
1.5 0.0896167230621551
1.53 0.0878075245923769
1.56 0.0859687080529316
1.59 0.0841061557694703
1.62 0.0822253810382253
1.65 0.0803315385999007
1.68 0.0784294358765041
1.71 0.0765235448041503
1.74 0.0746180141142057
